title,Body,Image-url,Tags
"Prioritize simplicity","Prioritize simplicity. Simplicity doesn’t just happen, it has to be earned, and sometimes fought for. The natural path when developing computer systems leads to ever-increasing complexity. Achieving simplicity requires effort, focus, dedication, and discipline.",/sites/default/files/2024-01/31dosd-day-01-sandwich.png,"Drupal Planet, 31daysofsimplifyingdrupal"
"Content owners over coders","Prioritize content owners over coders. The chief editor, not the chief programmer, should be the most powerful user, with the authority to turn on and off every extension (modules/themes/etc) on the site.",/sites/default/files/2024-01/site-owner.png,"Drupal Planet, 31daysofsimplifyingdrupal"
"Have a site builder","You should have a site builder role that is distinct from the module developers and themers on your project.  The site builder is the person in charge of the site, not the coders!  A typical professional site has several content creators, several module developers, a themer, and several project managers of various types.  Avoid the temptation to mix the roles.  Installing, updating, and configuring modules and themes is easy to do if they're properly designed and documented, but they rarely are.  Make sure they are, by separating responsibilities – don't let the module and theme developers install and turn on their own modules and themes, make them turn them over to the site builder, who has the time and incentive to keep track of (and document) how things fit together -- and who can extract the necessary information out of the coders, if necessary.",/sites/default/files/2024-01/sitebuilder.png,"Drupal Planet, 31daysofsimplifyingdrupal"
"Turn off the custom theme","Turn off the theme!  (On a development copy of your site, of course, not the live one.) When switched to an included theme, or a common contrib theme like Boostrap, everything (or at least, almost everything) on your site should function.  If it doesn't, it means you've built functionality into your theme, making it brittle and hard to maintain.",/sites/default/files/2024-01/31dosd-day4-programmer-looking-horrified-computer-on-fire.png,"Drupal Planet, 31daysofsimplifyingdrupal"
"Avoid building custom modules","Happy Friday --let's talk about custom modules! The ability to create custom modules is one the most powerful features of Drupal. Most of Drupal's functionality is supplied by modules just like the ones you can make yourself. There's literally nothing that can be done in Drupal that can't be done with a custom modules. So you might be surprised to learn that my advice is:
Don't do it!
Or at least, try to see if it's possible to get the results you seek without building a custom module. While it's often relatively easy for a programmer to achieve a desired effect with custom programming (especially if they've been recently working with some of the relevant systems) it's much harder to maintain custom code than it is to upgrade Drupal core and major contributed modules. Carefully consider whether there's a way to get what you need done. (If you do conclude that you should create a custom module, I'll have suggestions later on about how to minimize your pain.)",/sites/default/files/2024-01/31dosd-day5-toddler-stop.png,"Drupal Planet, 31daysofsimplifyingdrupal"
"Module names and descriptions","Your custom modules should have ridiculously clear and complete names and descriptions.  
Custom modules should have a name and description that is so clear and complete that a child could explain what it does and why it's needed. This is one area where you should not follow the example of core or contrib modules! A custom module doesn't ""belong"" to the programmer(s) who wrote it, it belongs to the site owner. There should be no secrets.  
The name should reflect what the module DOES, not what it is or how it's made. And the description should be long and very complete. It should include the date the module was created, what it does, what components and facilities depends on, what depends on it, and the name and email address of the programmer(s) who made it (or who took over from them when they moved on.)  Also include a detailed README in the code base, with full information about what the module is for, how it works, who wrote it, and where it fits in with the rest of the site. This is the kind of information that is probably in your issue tracker (like Jira) but put it here too! Your issue tracker may very well be gone by the time you need this info, and it costs you nothing to duplicate it here.",/sites/default/files/2024-01/31dosd-day6-monk-documenting-code.png,"Drupal Planet, 31daysofsimplifyingdrupal"
"Off-line site copies","Everybody working on a site should have a working off-line copy of the site. (Or at least, of the portions of the site they are working on.)",/sites/default/files/2024-01/31dosd-day7-DALL%C2%B7E-2024-01-07-old-timeycraftsman-model-ship.png,"Drupal Planet, 31daysofsimplifyingdrupal"
"Use Scrum","Use Scrum! 
The Scrum methodology works quite naturally with Drupal development, if you use it right. Every group modifies it; I've yet to see a single company that actually uses Scrum as it's defined in the Scrum Guide, though some come close. However, it's such an inspiring and well-written document (and so short!) that everybody should read it upon joining the team:
-end developer, a writer, deployment/dev ops, and maybe others. There can be a dedicated scrum master, or the site builder (not one of the coders!) can fill that role.
- The Scrum guide suggests one month sprints, but that's far too long for web development. Either two weeks (the most common) or even one week sprints.
- Almost everybody does the daily scrum wrong. It's not a daily status report. It's not for the project manager. It's a chance for the dev team to sync up with each other. The scrum master and product owner don't even have to be there. But the rest of the team should listen attentively and be involved. At the end of the daily scrum, every team member should be able to say what every other team member did yesterday and what they're planning to do today -- because they should be ready to help them, if they can.
- One more thing about the daily scrum: The three ""daily questions"" that are traditionally answered are ""what did you do yesterday, what are you doing today, and is anything blocking you."" The first two are pretty straightforward, but pretty much everybody screws up the last one! Programmers have a lot of pride, and they think they can solve any problem, so they'll always say ""no blockers"". That's not actually helpful. Instead, each person should say what challenges they're facing, and give enough detail so that if any other team member knows something that can help, they can volunteer it.
Done right, the daily scrum should be over in 5 minutes; it's so fast that nobody should mind. And you must do it every day; otherwise it doesn't work.",/sites/default/files/2024-01/31dosd-day8-DALL%C2%B7E%202024-01-08--diverse-corporate-scrum-team.png,"Drupal Planet, 31daysofsimplifyingdrupal"
"Custom admin interface","Create a custom admin interface.
Drupal makes it really easy to create beautiful and functional interfaces. Site owners put tremendous time and effort into crafting their visitor's experiences, but almost everybody just points their own people at Drupal's default bare-bones content management display and leaves it at that. Why? It's really easy to create a few custom Views for your editors -- so you should.",/sites/default/files/2024-01/31dosd-day9-DALL%C2%B7E-2024-01-09-developers-renovating-kitchen.png,"Drupal Planet, 31daysofsimplifyingdrupal"
"Alphabetical group names","Let's do an easy one today. Modules display on the ""Extend"" in groups (called ""packages"") that are displayed in alphabetical order.  If your company's name starts with an ""A"" (or maybe even a ""B"") then go ahead and name your package that, but if it's not then pre-pend ""AA"" or even ""00"" to the group name, like this:
   name: Big Corp Custom Module X
   type: module
   package: 00 Big Corp
It's not a big thing, but if your company's branding department will let you get away with, then you can make the modules page easier to navigate.
(Honestly, this is compensating for a misfeature of Drupal -- this is an example of how the administrative interface inconveniently hides information that should we easier to find.)",/sites/default/files/2024-01/31dosd-day10-DALL%C2%B7E-2024-01-10-panda-letters.png,"Drupal Planet, 31daysofsimplifyingdrupal"
